InstanceCount, QoS, Delay, Subscription QoS, Rate of messages, Message Loss, Out of order messages, median inter message gaps, $SYS/broker/load/messages/received/1min, $SYS/broker/load/messages/sent/1min, $SYS/broker/clients/connected, $SYS/broker/load/publish/dropped/1min
1,0,0,0,17397.7,-Infinity,0.0,0,85869.69,171600.34,8,0.05
1,0,1,0,445.8,-Infinity,0.0,0,144813.70,289498.87,8,0.05
1,0,2,0,619.2,-Infinity,0.016149870801033594,1,108850.50,217602.34,8,0.05
1,0,4,0,113.0,-Infinity,0.0,2,91057.42,182019.00,8,0.05
1,1,0,0,1357.0,-Infinity,0.007369196757553427,1,82309.90,169974.63,8,0.05
1,1,1,0,265.4,-Infinity,0.0,1,64219.66,139292.97,8,0.05
1,1,2,0,492.0,-Infinity,0.02032520325203252,2,57164.53,127031.24,8,0.05
1,1,4,0,99.2,-Infinity,0.0,2,49488.49,111413.53,8,0.05
1,2,0,0,1290.5,-Infinity,0.007748934521503293,2,55008.27,119382.37,8,0.05
1,2,1,0,206.9,-Infinity,0.0,2,49232.07,106248.32,8,0.05
1,2,2,0,413.2,-Infinity,0.02420135527589545,2,44484.78,94353.97,8,0.05
1,2,4,0,95.9,-Infinity,0.0,2,37421.48,79307.15,8,0.05
2,0,0,0,33154.6,-Infinity,6.03234543622906E-4,2,139190.19,282084.90,8,0.05
2,0,1,0,901.3,-Infinity,0.011095084877399313,2,265935.85,534430.42,8,0.05
2,0,2,0,1250.3,-Infinity,0.015996160921378868,2,231171.04,464458.48,8,0.05
2,0,4,0,230.3,-Infinity,0.04342162396873643,2,196422.26,394591.79,8,0.05
2,1,0,0,2752.0,-Infinity,0.010901162790697675,2,159391.72,341469.67,8,0.05
2,1,1,0,486.0,-Infinity,0.0205761316872428,2,135583.93,292911.95,8,0.05
2,1,2,0,901.0,-Infinity,0.03329633740288568,2,119779.83,264531.42,8,0.05
2,1,4,0,207.0,-Infinity,0.04830917874396135,2,88516.91,199808.55,8,0.05
2,2,0,0,3571.6,-Infinity,0.008399596819352671,2,103327.70,226845.87,8,0.05
2,2,1,0,333.2,-Infinity,0.030012004801920768,2,107850.60,229686.11,8,0.05
2,2,2,0,685.1,-Infinity,0.04378922784994892,2,99480.66,210584.45,8,0.05
2,2,4,0,189.4,-Infinity,0.05279831045406547,2,86284.16,182231.67,8,0.05
3,0,0,0,41924.0,-Infinity,9.541074324968991E-4,2,0,0,0,0
3,0,1,0,5009.1,-Infinity,0.003992733225529536,2,411504.22,828566.59,8,0.05
3,0,2,0,1817.2,-Infinity,0.016508914813999558,2,360786.85,726184.36,8,0.05
