InstanceCount, QoS, Delay, Subscription QoS, Rate of messages, Message Loss, Out of order messages, median inter message gaps, $SYS/broker/load/messages/received/1min, $SYS/broker/load/messages/sent/1min, $SYS/broker/clients/connected, $SYS/broker/load/publish/dropped/1min
1,0,0,0,499.4,-Infinity,0.0,0,0,0,0,0
1,0,1,0,14840.2,-Infinity,0.0,0,0,0,0,0
1,0,2,0,820.4,-Infinity,0.0,1,0,0,0,0
1,0,4,0,409.8,-Infinity,0.0,2,0,0,0,0
1,1,0,0,257.4,-Infinity,0.0,1,0,0,0,0
1,1,1,0,1159.8,-Infinity,0.0,1,0,0,0,0
1,1,2,0,470.8,-Infinity,0.0,2,0,0,0,0
1,1,4,0,255.2,-Infinity,0.0,2,0,0,0,0
1,2,0,0,271.2,-Infinity,0.0,2,0,0,0,0
1,2,1,0,1037.4,-Infinity,0.0,2,0,0,0,0
1,2,2,0,337.6,-Infinity,0.0,2,0,0,0,0
1,2,4,0,284.8,-Infinity,0.0,2,0,0,0,0
2,0,0,0,1364.4,-Infinity,0.01465630954125751,2,0,0,0,0
2,0,1,0,27289.0,-Infinity,7.328960386969108E-4,2,0,0,0,0
2,0,2,0,1628.8,-Infinity,0.012278978388998035,2,0,0,0,0
2,0,4,0,828.8,-Infinity,0.02413127413127413,2,0,0,0,0
2,1,0,0,737.8,-Infinity,0.02710761724044456,2,0,0,0,0
2,1,1,0,2931.6,-Infinity,0.006822213125938055,2,0,0,0,0
2,1,2,0,926.6,-Infinity,0.02158428663932657,2,0,0,0,0
2,1,4,0,664.2,-Infinity,0.030111412225233364,2,0,0,0,0
2,2,0,0,570.6,-Infinity,0.03505082369435682,2,0,0,0,0
2,2,1,0,2746.0,-Infinity,0.007283321194464676,2,0,0,0,0
2,2,2,0,683.8,-Infinity,0.029248318221702253,2,0,0,0,0
2,2,4,0,523.6,-Infinity,0.03819709702062643,2,0,0,0,0
3,0,0,0,2503.4,-Infinity,0.015978269553407365,2,0,0,0,0
3,0,1,0,32761.6,-Infinity,0.001220941590154327,2,0,0,0,0
3,0,2,0,2435.2,-Infinity,0.0164257555847569,2,0,0,0,0
3,0,4,0,1236.0,-Infinity,0.032362459546925564,2,0,0,0,0
3,1,0,0,1037.8,-Infinity,0.03854307188282906,2,0,0,0,0
3,1,1,0,4704.0,-Infinity,0.008503401360544217,2,0,0,0,0
3,1,2,0,1120.2,-Infinity,0.03570790930191037,2,0,0,0,0
3,1,4,0,850.8,-Infinity,0.04701457451810061,2,0,0,0,0
3,2,0,0,792.4,-Infinity,0.05047955577990913,2,0,0,0,0
3,2,1,0,2937.0,-Infinity,0.013619339462036091,2,0,0,0,0
3,2,2,0,884.6,-Infinity,0.04521817770743839,2,0,0,0,0
3,2,4,0,650.2,-Infinity,0.06151953245155337,2,0,0,0,0
4,0,0,0,1866.8,-Infinity,0.03214056138847225,2,0,0,0,0
4,0,1,0,44597.4,-Infinity,0.0013453699094566052,2,0,0,0,0
4,0,2,0,2948.8,-Infinity,0.020347259902333152,2,0,0,0,0
4,0,4,0,1460.4,-Infinity,0.041084634346754315,2,0,0,0,0
4,1,0,0,1310.0,-Infinity,0.04580152671755725,2,0,0,0,0
4,1,1,0,2801.2,-Infinity,0.021419391689276025,2,0,0,0,0
4,1,2,0,1542.4,-Infinity,0.03890041493775934,2,0,0,0,0
4,1,4,0,1046.6,-Infinity,0.05732849226065354,2,0,0,0,0
4,2,0,0,1023.0,-Infinity,0.05865102639296188,2,0,0,0,0
4,2,1,0,3096.4,-Infinity,0.019377341428755974,2,0,0,0,0
4,2,2,0,1653.2,-Infinity,0.03629324945560126,2,0,0,0,0
4,2,4,0,870.6,-Infinity,0.06891798759476223,2,0,0,0,0
5,0,0,0,2276.0,-Infinity,0.0351493848857645,2,0,0,0,0
5,0,1,0,33839.8,-Infinity,0.0023640801659584277,2,0,0,0,0
5,0,2,0,3524.6,-Infinity,0.022697611076434206,2,0,0,0,0
5,0,4,0,1790.8,-Infinity,0.04467277194549922,2,0,0,0,0
5,1,0,0,1683.6,-Infinity,0.047511580947856034,2,0,0,0,0
5,1,1,0,2848.6,-Infinity,0.028083971073509795,2,0,0,0,0
5,1,2,0,1682.2,-Infinity,0.047556770895256215,2,0,0,0,0
5,1,4,0,1197.0,-Infinity,0.06683375104427736,2,0,0,0,0
5,2,0,0,1321.6,-Infinity,0.06053268765133172,2,0,0,0,0
5,2,1,0,3134.6,-Infinity,0.025521597652013017,2,0,0,0,0
5,2,2,0,1931.6,-Infinity,0.04141644232760406,2,0,0,0,0
5,2,4,0,948.8,-Infinity,0.08431703204047217,2,0,0,0,0
1,0,0,1,2899.8,-Infinity,0.006897027381198704,0,32816.39,65907.82,7,0.05
1,0,1,1,10818.8,-Infinity,0.001848633859577772,0,97429.33,195073.91,7,0.05
1,0,2,1,771.0,-Infinity,0.02594033722438392,1,85274.50,170709.93,7,0.05
1,0,4,1,389.2,-Infinity,0.051387461459403906,2,72895.26,145907.13,7,0.05
1,1,0,1,843.4,-Infinity,0.02371354043158644,1,64875.71,133457.55,7,0.05
1,1,1,1,2022.4,-Infinity,0.009889240506329115,1,57676.87,122064.58,7,0.05
1,1,2,1,465.2,-Infinity,0.04299226139294927,1,57676.87,122064.58,7,0.05
1,1,4,1,300.2,-Infinity,0.06662225183211193,2,49587.91,106290.22,7,0.05
1,2,0,1,517.0,-Infinity,0.03868471953578336,2,42197.90,91163.63,7,0.05
1,2,1,1,1121.0,-Infinity,0.01784121320249777,2,45221.95,96064.34,7,0.05
1,2,2,1,391.8,-Infinity,0.05104645227156713,2,40824.65,86314.57,7,0.05
1,2,4,1,269.0,-Infinity,0.07434944237918216,2,36693.40,77255.96,7,0.05
2,0,0,1,5619.6,-Infinity,0.007117944337675279,2,36006.19,75219.72,7,0.05
2,0,1,1,21469.4,-Infinity,0.0018631168081082844,2,157794.22,318240.26,7,0.05
2,0,2,1,1507.2,-Infinity,0.02653927813163482,2,138923.89,280038.02,7,0.05
2,0,4,1,758.4,-Infinity,0.05274261603375527,2,119139.47,240084.93,7,0.05
2,1,0,1,1324.2,-Infinity,0.030206917384080954,2,112293.90,238446.17,7,0.05
2,1,1,1,2986.0,-Infinity,0.013395847287340923,2,100113.34,218350.40,7,0.05
2,1,2,1,927.8,-Infinity,0.04311273981461522,2,100113.34,218350.40,7,0.05
2,1,4,1,612.8,-Infinity,0.06527415143603134,2,86475.53,191092.45,7,0.05
2,2,0,1,911.0,-Infinity,0.04390779363336992,2,73782.73,164423.17,7,0.05
2,2,1,1,2291.4,-Infinity,0.017456576765296324,2,87993.46,190007.11,7,0.05
2,2,2,1,666.4,-Infinity,0.060024009603841535,2,79651.37,170960.71,7,0.05
2,2,4,1,444.6,-Infinity,0.0899685110211426,2,71375.42,152439.54,7,0.05
3,0,0,1,4432.0,-Infinity,0.013537906137184115,2,95051.35,198152.01,7,0.05
3,0,1,1,31152.8,-Infinity,0.0019259906011658665,2,210418.95,427521.52,7,0.05
3,0,2,1,2172.8,-Infinity,0.027614138438880706,2,185476.37,376499.43,7,0.05
3,0,4,1,1145.8,-Infinity,0.05236515971373713,2,159058.01,322716.22,7,0.05
3,1,0,1,1364.6,-Infinity,0.04396892862377254,2,156011.19,338901.61,7,0.05
3,1,1,1,1861.6,-Infinity,0.03223033949290932,2,156011.19,338901.61,7,0.05
3,1,2,1,1093.0,-Infinity,0.05489478499542544,2,135285.97,298278.18,7,0.05
3,1,4,1,846.4,-Infinity,0.07088846880907373,2,116586.05,260161.57,7,0.05
3,2,0,1,1040.4,-Infinity,0.05767012687427912,2,99643.44,224304.55,7,0.05
3,2,1,1,2365.6,-Infinity,0.02536354413256679,2,111355.12,243523.51,7,0.05
3,2,2,1,824.0,-Infinity,0.07281553398058252,2,101431.46,220174.25,7,0.05
3,2,4,1,584.4,-Infinity,0.10266940451745381,2,91493.50,197380.23,7,0.05
4,0,0,1,4467.4,-Infinity,0.01790670606142,2,122826.76,257623.88,7,0.05
4,0,1,1,41453.0,-Infinity,0.0,2,276922.69,563792.32,7,0.05
4,0,2,1,2508.4,-Infinity,0.09567852017222134,2,241569.23,491401.83,7,0.05
4,0,4,1,1474.4,-Infinity,0.05425935973955508,2,205967.68,418797.17,7,0.05
4,1,0,1,1504.4,-Infinity,0.05317734645041213,2,205967.68,418797.17,7,0.05
4,1,1,1,2131.6,-Infinity,0.03752697251149263,2,186200.28,392766.69,7,0.05
4,1,2,1,1308.0,-Infinity,0.06116207951070336,2,162508.62,349433.02,7,0.05
4,1,4,1,976.6,-Infinity,0.08191685439279131,2,140398.07,306195.75,7,0.05
4,2,0,1,1346.2,-Infinity,0.059426533947407524,2,120033.21,264327.04,7,0.05
4,2,1,1,2506.2,-Infinity,0.031920836325911736,2,130290.19,280763.40,7,0.05
4,2,2,1,1308.4,-Infinity,0.06114338122898196,2,126336.17,269454.42,7,0.05
4,2,4,1,738.8,-Infinity,0.10828370330265295,2,113732.19,241418.86,7,0.05
5,0,0,1,6109.0,-Infinity,0.01636929120969062,2,148436.87,308477.93,7,0.05
